tip,date,group
Oman_2285_2013_KT156560_human_2013-10-28,2013-10-28,human
KFU-HKU19Dam_KJ650296_camel_2013-12-30,2013-12-30,camel
AbuDhabi_Gayathi_UAE_2_2014_KP209310_human_2014-03-07,2014-03-07,human
UAE_D1209_2014_KP719933_camel_2014-06,2014-06,camel
UAE_D511-14_KU242423_camel_2014-03-12,2014-03-12,camel
Al-Hasa_21_2013_KF600634_human_2013-05-30,2013-05-30,human
Al-Hasa_25_2013_KJ156866_human_2013-05-02,2013-05-02,human
Al-Hasa_2_2013_KF186566_human_2013-04-21,2013-04-21,human
Al-Hasa_16_2013_KF600644_human_2013-05-12,2013-05-12,human
Al-Hasa_7_2013_KF600623_human_2013-05-01,2013-05-01,human
Al-Hasa_17_2013_KF600647_human_2013-05-15,2013-05-15,human
Al-Hasa_1_2013_KF186567_human_2013-05-09,2013-05-09,human
KFMC-1_KT121580_human_2014-04-28,2014-04-28,human
KFMC-4_KT121575_human_2014-05-12,2014-05-12,human
KFMC-7_KT121581_human_2014-05-03,2014-05-03,human
KFMC-8_KT121579_human_2014-04-30,2014-04-30,human
Riyadh-KKUH-643__human_2014-11-02,2014-11-02,human
Riyadh-KKUH-665__human_2014-11-19,2014-11-19,human
Riyadh_13_2013_KJ156888_human_2013-08-13,2013-08-13,human
Riyadh_14_2013_KJ156934_human_2013-08-15,2013-08-15,human
Riyadh_10_2013_KJ156891_human_2013-09-05,2013-09-05,human
Riyadh_17_2013_KJ156918_human_2013-08-26,2013-08-26,human
UAE_D1164.14_2014_KP719930_camel_2014-06,2014-06,camel
KFU-HKU13_KJ650295_camel_2013-12-30,2013-12-30,camel
KFU-HKU1_KJ650297_camel_2013-11-30,2013-11-30,camel
AbuDhabi_UAE_16_2014_KP209308_human_2014-04-10,2014-04-10,human
D389_15_KX108942_camel_2015-02-15,2015-02-15,camel
UAE_D1243.12_2014_KP719932_camel_2014-06,2014-06,camel
UAE_D1339.2_2014_KP719931_camel_2014-06,2014-06,camel
Al-Hasa_8_2013_KF600618_human_2013-05-01,2013-05-01,human
Al-Hasa_12_2013_KF600627_human_2013-05-07,2013-05-07,human
Al-Hasa_3_2013_KF186565_human_2013-04-22,2013-04-22,human
Taif_T92_2015_KT368887_camel_2015-04,2015-04,camel
UAE_D1164.9_2014_KP719927_camel_2014-06,2014-06,camel
AbuDhabi_UAE_8_2014_KP209306_human_2014-04-07,2014-04-07,human
D374_15_KX108940_camel_2015-02-12,2015-02-12,camel
Al-Hasa_11_2013_KF600629_human_2013-05-03,2013-05-03,human
Al-Hasa_14_2013_KF600615_human_2013-05-08,2013-05-08,human
Al-Hasa_19_2013_KF600632_human_2013-05-23,2013-05-23,human
Al-Hasa_26_2013_KJ156882_human_2013-06-18,2013-06-18,human
Al-Hasa_27_2013_KJ156943_human_2013-06-19,2013-06-19,human
Al-Hasa_28_2013_KJ156887_human_2013-06-22,2013-06-22,human
Riyadh_Ry23N_2014_KT368825_camel_2014-07,2014-07,camel
Riyadh-KKUH-104__human_2014-04-25,2014-04-25,human
Riyadh-KKUH-105__human_2014-04-25,2014-04-25,human
Taif_T98_2015_KT368888_camel_2015-04,2015-04,camel
D1164.1_14_KX108937_camel_2014-06-02,2014-06-02,camel
UAE_D1164.11_2014_KP719929_camel_2014-06,2014-06,camel
D252_15_KX108939_camel_2015-01-30,2015-01-30,camel
Riyadh-KSA-2716_2015_KT806051_human_2015-02-05,2015-02-05,human
AbuDhabi_UAE_18_2014_KP209307_human_2014-04-10,2014-04-10,human
AbuDhabi_UAE_26_2014_KP209313_human_2014-04-13,2014-04-13,human
AbuDhabi_UAE_30_2014_KP209309_human_2014-04-19,2014-04-19,human
AbuDhabi_UAE_33_2014_KP209311_human_2014-04-17,2014-04-17,human
D2597.2_14_KX108938_camel_2014-12-13,2014-12-13,camel
D383_15_KX108941_camel_2015-02-14,2015-02-14,camel
Jeddah_S93_2014_KT368855_camel_2014-09,2014-09,camel
Khobar-KSA-6736_2015_KT806048_human_2015-02-07,2015-02-07,human
Jeddah_D92_2014_KT368845_camel_2014-12,2014-12,camel
Jeddah_O30_2014_KT368851_camel_2014-10,2014-10,camel
Jeddah_O47b_2014_KT368852_camel_2014-10,2014-10,camel
Taif_T157b_2015_KT368890_camel_2015-03,2015-03,camel
Jeddah_D90_2014_KT368844_camel_2014-12,2014-12,camel
Taif_KSA-7032_2014_KU710264_human_2014-11-04,2014-11-04,human
Jeddah_S99_2014_KT368857_camel_2014-09,2014-09,camel
Jeddah_D100_2014_KT368828_camel_2014-12,2014-12,camel
Jeddah_D88_2014_KT368843_camel_2014-12,2014-12,camel
Jeddah_O23b_2014_KT368849_camel_2014-10,2014-10,camel
Jeddah_O24_2014_KT368850_camel_2014-10,2014-10,camel
Jeddah_S100_2014_KT368853_camel_2014-09,2014-09,camel
Jeddah_S73_2014_KT368854_camel_2014-09,2014-09,camel
Riyadh_Ry137_2015_KT368869_camel_2015-03,2015-03,camel
Riyadh_Ry86_2015_KT368879_camel_2015-03,2015-03,camel
Jeddah-KSA-C20860_2015_KT806055_human_2015-02-10,2015-02-10,human
Jeddah_401_2014_KT368827_camel_2014-09,2014-09,camel
Jeddah_S94_2014_KT368856_camel_2014-09,2014-09,camel
Riyadh_Ry84N_2014_KT368826_camel_2014-07,2014-07,camel
Riyadh_Ry159b_2015_KT368870_camel_2015-03,2015-03,camel
Jeddah-KSA-3RS2702_2015_KU851859_human_2015-07-12,2015-07-12,human
Riyadh_Ry178_2015_KT368874_camel_2015-03,2015-03,camel
Jeddah_Jd175_2015_KT368866_camel_2015-02,2015-02,camel
Jeddah_Jd199_2015_KT368867_camel_2015-02,2015-02,camel
Taif_T150_2015_KT368889_camel_2015-03,2015-03,camel
Hufuf-KSA-11002_2015_KT806046_human_2015-05-10,2015-05-10,human
Kharj-KSA-2598_2015_KT806053_human_2015-02-02,2015-02-02,human
Kharj-KSA-2599_2015_KT806052_human_2015-02-02,2015-02-02,human
Riyadh-KSA-3065_2015_KT806050_human_2015-02-12,2015-02-12,human
Riyadh_Ry173_2015_KT368872_camel_2015-03,2015-03,camel
Riyadh_Ry177_2015_KT368873_camel_2015-03,2015-03,camel
